Frames,aging algorithm
1,1000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,980.989
10,961.977
11,942.966
12,923.954
13,904.943
14,889.734
15,874.525
16,859.316
17,840.304
18,825.095
19,809.886
20,794.677
21,779.468
22,764.259
23,749.049
24,733.84
25,718.631
26,703.422
27,688.213
28,673.004
29,657.795
30,642.586
31,627.376
32,612.167
33,596.958
34,581.749
35,566.54
36,551.331
37,536.122
38,520.913
39,505.703
40,486.692
41,467.681
42,452.471
43,410.646
44,380.228
45,357.414
46,346.008
47,315.589
48,269.962
49,220.532
50,190.114
